Shape_ID,EntityHand,floor_nb,Retailer name,Branch level 2,value,value_comp,Shop Front Traffic_comp,Shop Front Traffic,GLA,Lease end,breakdown,floor
1_53,11B,1,Boutique 11,Technologie,18196,14876,124621,156783,109,14/05/22,Visits,Floor 1
1_56,11F,1,Boutique 12,Technologie,16117,40946,134501,209407,248,15/05/22,Visits,Floor 1
1_57,120,1,Boutique 13,Technologie,14216,40946,129551,209407,184,14/05/22,Visits,Floor 1
1_58,121,1,Boutique 14,Technologie,8138,19312,120305,176999,166,30/12/20,Visits,Floor 1
1_59,122,1,Boutique 15,Technologie,1663,5592,117058,139348,45,01/07/18,Visits,Floor 1
1_60,123,1,Boutique 16,Technologie,8078,10246,111929,151638,126,24/08/14,Visits,Floor 1
1_61,124,1,Boutique 17,Technologie,14989,13474,139273,151911,180,31/03/15,Visits,Floor 1
1_62,126,1,Boutique 18,Technologie,130838,130838,394119,394119,13000,13/11/14,Visits,Floor 1
1_64,12B,1,Boutique 19,Technologie,7979,20033,126423,191184,150,31/03/21,Visits,Floor 1
1_65,12C,1,Boutique 20,Technologie,15602,13345,173626,182398,116,31/03/16,Visits,Floor 1
1_66,12D,1,Boutique 21,Services,22414,40946,156559,209407,245,30/11/21,Visits,Floor 1
1_68,12F,1,Boutique 22,Services,851,2475,160380,148134,117,30/09/22,Visits,Floor 1
1_69,130,1,Boutique 23,Services,9722,16280,148124,168894,148,31/08/22,Visits,Floor 1
1_70,131,1,Boutique 24,Services,7168,14885,103831,156529,108,30/03/19,Visits,Floor 1
1_71,132,1,Boutique 25,Services,23384,40946,130324,209407,316,02/10/21,Visits,Floor 1
1_72,133,1,Boutique 26,Services,3188,5592,141134,139348,75,30/06/23,Visits,Floor 1
1_73,134,1,Boutique 27,Services,5861,27334,138164,202920,155,16/05/20,Visits,Floor 1
1_74,135,1,Boutique 28,Services,9484,5592,122245,139348,137,22/05/22,Visits,Floor 1
1_77,138,1,Boutique 29,Services,23265,23265,137353,137353,216,23/04/12,Visits,Floor 1
1_93,161,1,Boutique 30,Services,8276,8672,116167,144903,136,14/06/19,Visits,Floor 1
1_95,164,1,Boutique 31,Services,7663,5381,235620,203212,84,01/07/23,Visits,Floor 1
1_97,16A,1,Boutique 32,Services,7524,14885,120919,156529,197,15/07/20,Visits,Floor 1
1_101,195,1,Boutique 33,Services,23423,23423,232729,232729,229,28/02/23,Visits,Floor 1
1_102,197,1,Boutique 34,Services,14216,20033,178537,191184,292,13/05/12,Visits,Floor 1
1_103,198,1,Agence 1,Sports,23008,16109,194159,216604,74,31/10/23,Visits,Floor 1
1_103,198,1,Agence 2,Sports,10831,16109,148282,216604,74,31/10/23,Visits,Floor 1
1_104,19A,1,Agence 3,Sports,23008,16109,194159,216604,74,31/10/23,Visits,Floor 1
1_104,19A,1,Agence 4,Sports,10831,16109,148282,216604,74,31/10/23,Visits,Floor 1
1_105,19D,1,Agence 5,Sports,3307,3307,147074,147074,65,23/10/23,Visits,Floor 1
1_108,1A6,1,Agence 6,Sports,22156,17879,175329,210622,3392,09/04/12,Visits,Floor 1
1_109,1A9,1,Agence 7,Sports,21245,21245,158321,158321,351,19/06/22,Visits,Floor 1
1_110,1B6,1,Agence 8,Sports,20117,20117,144184,144184,391,30/06/22,Visits,Floor 1
1_111,1B7,1,Agence 9,Sports,10712,13474,150143,151911,215,14/05/22,Visits,Floor 1
1_112,1B9,1,Agence 10,Sports,18414,13474,181071,151911,168,14/05/22,Visits,Floor 1
